payment_code,age,gender,handed,lang,study,caff,group,part,item_full,item_en,item_id,predicate,context,judgment,decision_time_item_1,submit_time,item_order,quarter
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se il panda abbia rotto qualcosa%2C ma se ha rotto anche il vaso di porcellana%2C la rana andrà su tutte le furie.,I don't know whether the panda broke anything%2C but if he broke the porcelaine vase too%2C the frog will flare up.,28,too,dontknowwhether,2,31987,33177,1,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha perso l'aquilone%2C ma se il panda è arrabbiato che l'abbia perso%2C le getterà gli occhiali da sole in mare.,The duck didn't lose the kite%2C but if the panda is angry that she did%2C he will hurl her sunglasses in the sea.,1,true_factive,notpif,1,12075,25509,2,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha mai usato il giocattolo della papera%2C ma se l'ha usato di nuovo ieri%2C la papera le getterà tutti i disegni nel fango.,The frog has never used the duck's toy%2C but if she used it again yesterday%2C the duck will throw all her drawing in the mud.,29,again,notpif,1,31837,33350,3,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se il panda abbia calpestato le margherite%2C ma se la rana crede che le abbia calpestate%2C preparerà dei gavettoni per punirlo.,I don't know whether the panda trampled the daisies%2C but if the frog believes that he did%2C he will prepare water balloons to punish him.,22,non_factive,dontknowwhether,7,8929,9882,5,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha potato la siepe%2C ma la rana%2C dopo averla innaffiata%2C si è resa conto che la papera l'ha potata.,I don't know whether the duck pruned the hedge%2C but the frog%2C after watering it%2C realized that the duck pruned it.,48,semi_factive,dontknowwhetherand,2,21664,22354,7,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la papera abbia rotto il vasetto di miele%2C ma se il panda si rende conto che l'ha rotto%2C le terrà il broncio.,I don't know whether the duck broke the honey jar%2C but if the panda realizes that she did%2C he will pout.,14,semi_factive,dontknowwhether,4,33392,34061,9,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha gettato via le bambole di pezza%2C ma il panda è triste che le abbia gettate via. ,I don't know if the duck threw away the rag dolls%2C but the panda is sad that he threw them away.,37,true_factive,dontknowwhetherand,1,19506,21056,13,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha modificato la ricetta della torta%2C ma la rana%2C dopo averla riletta%2C si è resa conto che la papera l'ha modificata.,I don't know whether the duck changed the cake recipe%2C but the frog%2C after re-reading it%2C realized that the duck changed it.,45,semi_factive,dontknowwhetherand,2,14341,15583,15,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la papera abbia buttato via la cartolina%2C ma se il panda capisce che l'ha buttata via%2C non le parlerà mai più.,I don't know whether the duck threw away the postcard%2C but if the panda understands that she did%2C he will not speak to her anymore.,10,semi_factive,dontknowwhether,4,20663,21231,16,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha mollato il corso di nuoto%2C ma il panda è triste che l'abbia mollato. ,I don't know if the duck quit swimming class%2C but the panda is sad that he quit it.,40,true_factive,dontknowwhetherand,1,23134,24067,18,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la rana abbia rovinato il puzzle%2C ma se il panda è arrabbiato che l'abbia rovinato%2C le butterà le scarpe fuori dalla finestra.,I don't know whether the frog ruined the puzzle%2C but if the panda is angry that he did%2C he will throw his shoes out of the window.,4,true_factive,dontknowwhether,3,27849,29027,20,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha bruciato l'album di foto%2C ma se la rana è triste che l'abbia bruciato%2C piangerà a dirotto.,The panda didn't burn the photo album%2C but if the frog is sad that he did%2C he will cry his eyes out.,7,true_factive,notpif,4,12494,17717,24,1
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha truccato la macchinina telecomandata%2C ma il panda%2C dopo averla usata%2C ha capito che la rana l'ha truccata.,I don't know whether the frog rigged the remote control car%2C but the panda%2C after using it%2C realized that the frog rigged it.,44,semi_factive,dontknowwhetherand,2,24357,28051,27,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la rana abbia strappato il biglietto di auguri%2C ma se il panda pensa che l'abbia strappato%2C si metterà a piangere.,I don't know whether the frog tore up the birthday card%2C but if the panda thinks that he did%2C he will start to cry.,20,non_factive,dontknowwhether,7,5951,6844,29,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha finito la limonata%2C ma se la papera crede che l'abbia finita%2C andrà a comprare dei limoni.,The frog didn't finish the lemonade%2C but if the duck believes that he did%2C she will go buy lemons.,23,non_factive,notpif,7,4068,5670,30,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha danneggiato il microfono%2C ma se la rana è arrabbiata che l'abbia danneggiato%2C lo escluderà dalla serata di karaoke. ,The panda didn't damage the mic%2C but if the frog is angry that he did%2C he will uninvite him from karaoke night.,3,true_factive,notpif,2,14094,18753,31,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la papera abbia mai bruciato il pane%2C ma se l'ha bruciato di nuovo ieri%2C il panda non farà più colazione con lei.,I don't know whether the duck has ever burnt the bread%2C but if she burnt it again yesterday%2C the panda won't have breakfast with her anymore.,30,again,dontknowwhether,2,34653,36111,32,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha piegato le lancette dell'orologio%2C ma se la rana si rende conto che le ha piegate%2C gli urlerà contro.,The panda didn't bend the hands of the clock%2C but if the frog realizes that he did%2C he will shout at him.,13,semi_factive,notpif,2,11995,14902,36,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha sottratto nulla alla rana%2C ma se le ha sottratto anche il cappello%2C la rana gli strapperà il costume da bagno.,The panda didn't steal anything from the frog%2C but if he stole her hat too%2C the frog will rip his bathing suit.,25,too,notpif,1,15538,17893,37,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se il panda abbia letto il diario segreto%2C ma se la rana si rende conto che l'ha letto%2C considererà la loro amicizia rovinata.,I don't know whether the panda read the diary%2C but if the frog realizes that he did%2C he will consider their friendship ruined.,16,semi_factive,dontknowwhether,5,22433,24004,38,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la rana abbia perduto qualcosa%2C ma se ha perduto anche le chiavi%2C la papera andrà nel panico.,I don't know whether the frog lost anything%2C but if she lost the keys too%2C the duck will panic.,26,too,dontknowwhether,5,14825,15944,40,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se il panda abbia rubato il quaderno da colorare%2C ma se la papera è triste che l'abbia rubato%2C lo manderà via.,I don't know whether the panda stole the coloring book%2C but if the duck is sad that he did%2C she will throw him out.,8,true_factive,dontknowwhether,3,9227,9916,42,2
